sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira
1.0,9.0,1.0,36.0,8.0,2.0,2.0,2.0,2.0,31.0,2.0,0.0,1.0,1.0,3.0,0.046,0.0,0.0,0.0,6.781614434123333,0.0,0.0,1.0,0.0,0.0,0.0
1.0,3.0,1.0,12.0,1.0,1.0,1.0,1.0,2.0,52.0,0.0,1.0,1.0,0.0,4.0,0.045,0.0,0.0,0.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,17.0,2.0,60.0,5.0,1.0,1.0,1.0,2.0,19.0,0.0,0.0,0.0,0.0,3.0,0.053,0.0,0.0,0.0,9.690225,0.0,1.0,0.0,0.0,1.0,0.0
1.0,9.0,2.0,6.0,8.0,2.0,1.0,2.0,2.0,19.0,0.0,0.0,0.0,0.0,3.0,0.046,0.0,1.0,0.0,5.072559523809524,0.0,0.0,1.0,0.0,0.0,1.0
1.0,9.0,1.0,18.0,8.0,1.0,1.0,2.0,2.0,39.0,3.0,0.0,1.0,1.0,4.0,0.058,0.0,2.0,1.0,11.368849360755975,0.0,0.0,1.0,0.0,0.0,0.0
1.0,17.0,1.0,8.0,5.0,1.0,1.0,2.0,2.0,24.0,1.0,0.0,0.0,0.0,2.0,0.068,0.0,1.0,2.0,8.916084801762116,0.0,1.0,0.0,0.0,1.0,0.0
1.0,3.0,1.0,12.0,8.0,1.0,1.0,2.0,2.0,32.0,4.0,0.0,0.0,0.0,4.0,0.096,0.0,2.0,4.0,17.967861445783136,1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,1.0,4.0,8.0,1.0,1.0,2.0,2.0,17.0,0.0,0.0,1.0,0.0,2.0,0.07,0.0,2.0,2.0,13.995821167883213,1.0,0.0,0.0,1.0,0.0,0.0
1.0,17.0,1.0,30.0,8.0,1.0,1.0,1.0,2.0,34.0,3.0,0.0,0.0,0.0,4.0,0.047,0.0,3.0,0.0,10.105019762845853,0.0,0.0,1.0,0.0,0.0,1.0
1.0,7.0,1.0,4.0,8.0,1.0,1.0,2.0,2.0,27.0,2.0,0.0,0.0,0.0,3.0,0.045,0.0,1.0,1.0,7.842239263803681,0.0,0.0,1.0,0.0,0.0,0.0
1.0,9.0,1.0,36.0,8.0,1.0,1.0,2.0,2.0,26.0,1.0,0.0,1.0,0.0,3.0,0.055,0.0,0.0,1.0,13.53398623610376,0.0,0.0,1.0,0.0,0.0,1.0
1.0,9.0,2.0,24.0,5.0,2.0,1.0,2.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0,0.072,0.0,0.0,2.0,14.849965148698884,1.0,0.0,0.0,1.0,0.0,0.0
1.0,17.0,2.0,12.0,8.0,2.0,1.0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,2.0,0.061,0.0,1.0,2.0,11.843323183569808,1.0,0.0,0.0,1.0,0.0,0.0
1.0,6.0,1.0,24.0,8.0,2.0,1.0,2.0,2.0,36.0,5.0,0.0,1.0,0.0,3.0,0.071,0.0,0.0,1.0,4.653950242718446,1.0,0.0,0.0,1.0,0.0,0.0
1.0,1.0,1.0,8.0,8.0,2.0,1.0,2.0,1.0,38.0,6.0,0.0,0.0,1.0,2.0,0.042,0.0,3.0,3.0,12.276446578631454,0.0,0.0,1.0,0.0,0.0,1.0
1.0,8.0,1.0,18.0,8.0,2.0,1.0,1.0,1.0,37.0,3.0,1.0,1.0,1.0,3.0,0.06,0.0,1.0,2.0,16.67328260869565,0.0,0.0,1.0,0.0,0.0,1.0
1.0,6.0,1.0,24.0,8.0,1.0,2.0,2.0,2.0,24.0,1.0,0.0,0.0,0.0,3.0,0.055,0.0,1.0,3.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,9.0,2.0,6.0,3.0,2.0,1.0,2.0,1.0,25.0,1.0,0.0,0.0,0.0,4.0,0.047,0.0,2.0,1.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,1.0
1.0,9.0,1.0,12.0,8.0,1.0,2.0,2.0,2.0,39.0,2.0,0.0,1.0,0.0,2.0,0.042,0.0,1.0,1.0,9.974612845138056,0.0,0.0,1.0,0.0,0.0,0.0
1.0,17.0,1.0,138.0,8.0,1.0,1.0,2.0,1.0,45.0,2.0,0.0,1.0,1.0,2.0,0.04,0.0,0.0,0.0,14.549585365853662,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6.0,1.0,9.0,8.0,1.0,1.0,2.0,2.0,21.0,1.0,0.0,1.0,0.0,2.0,0.045,0.0,1.0,1.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,1.0
