sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira,target
1,12.0,2.0,36,8.0,1.0,1.0,2.0,2.0,22,0.0,0,0,0,2,0.075,1,0,0,9.111083392729864,0,1,0,0,1,0,1
1,6.0,1.0,12,8.0,2.0,2.0,2.0,2.0,23,0.0,0,0,0,2,0.075,0,2,2,17.22424446583253,1,0,0,0,0,0,0
1,9.0,1.0,12,8.0,1.0,2.0,2.0,2.0,26,2.0,1,0,0,2,0.07,0,1,2,10.496865875912409,1,0,0,0,0,0,0
1,3.0,1.0,30,1.0,2.0,1.0,2.0,2.0,56,2.0,0,1,0,2,0.049,0,0,0,6.371514018691589,0,0,1,0,0,1,0
1,12.0,1.0,8,8.0,2.0,1.0,2.0,2.0,27,3.0,0,1,0,2,0.049,0,3,0,12.743028037383178,0,0,1,0,0,1,0
1,9.0,1.0,24,8.0,1.0,2.0,2.0,2.0,29,2.0,1,1,0,2,0.056,0,1,2,7.968312007874016,0,1,0,0,0,0,0
1,5.0,1.0,4,1.0,1.0,1.0,2.0,2.0,42,3.0,0,1,0,2,0.045,0,2,1,9.410687116564418,0,0,1,0,0,1,1
1,6.0,1.0,7,8.0,1.0,2.0,2.0,2.0,22,2.0,0,0,0,2,0.056,0,1,2,6.8462088752869175,0,1,0,0,0,0,0
1,2.0,1.0,12,8.0,2.0,1.0,2.0,2.0,54,8.0,1,1,0,2,0.085,0,1,1,16.631960966542753,1,0,0,1,0,0,1
1,6.0,2.0,36,8.0,1.0,2.0,2.0,2.0,18,1.0,0,0,0,2,0.058,0,3,1,9.683977272727274,1,0,0,0,0,0,1
1,0.0,1.0,36,8.0,2.0,2.0,2.0,2.0,42,8.0,1,0,0,2,0.049,0,0,0,26.356391752577323,1,0,0,0,0,0,1
1,11.0,1.0,6,8.0,1.0,1.0,2.0,1.0,28,2.0,0,1,0,2,0.054,0,1,2,9.776558317399617,0,1,0,0,1,0,1
1,6.0,1.0,7,8.0,2.0,1.0,2.0,2.0,42,4.0,0,1,0,2,0.045,0,2,2,5.881679447852761,0,0,1,0,0,1,1
1,1.0,1.0,12,8.0,2.0,2.0,2.0,2.0,37,7.0,1,1,0,2,0.071,0,2,3,10.54690594059406,1,0,0,0,0,0,1
1,6.0,1.0,72,8.0,2.0,1.0,2.0,2.0,46,4.0,0,1,0,2,0.068,0,0,0,7.508281938325992,0,1,0,0,1,0,1
1,2.0,1.0,1,8.0,2.0,1.0,2.0,2.0,44,3.0,1,1,0,2,0.056,0,0,1,17385.458423871463,0,1,0,0,1,0,1
1,6.0,1.0,168,8.0,1.0,2.0,2.0,2.0,24,1.0,0,0,0,2,0.071,0,2,0,13.331289108910891,1,0,0,0,0,0,0
1,1.0,1.0,36,8.0,2.0,2.0,2.0,2.0,40,6.0,1,1,0,2,0.071,0,0,1,12.410533980582525,1,0,0,0,0,0,1
1,3.0,1.0,7,8.0,2.0,2.0,2.0,2.0,42,6.0,0,1,0,2,0.085,0,0,2,16.631960966542753,1,0,0,0,0,0,1
1,6.0,1.0,12,8.0,1.0,1.0,2.0,2.0,22,1.0,0,0,0,2,0.049,0,1,1,28.790202702702704,1,0,0,1,0,0,0
1,6.0,1.0,12,8.0,1.0,1.0,2.0,2.0,27,2.0,0,0,0,2,0.069,0,1,2,7.961636678200692,0,1,0,0,1,0,0
1,0.0,1.0,12,8.0,1.0,2.0,2.0,2.0,34,5.0,0,1,0,2,0.059,0,0,1,63.12518518518519,1,0,0,0,0,0,0
