birth_cohort,education,labor_exp_age45,first_migration_age,total_trips,legal_status,latest_us_occupation,accumulated_us_experience,mean_proportion_low_income,label
1958,10.0,25.0,34.0,1,WD,Manual,12.0,0.2351765307508255,undetermined
1947,6.0,33.0,38.0,1,WD,Other,60.0,0.2351765307508255,no_movement
1967,9.0,15.0,23.0,1,WD,Manual,12.0,0.2351765307508255,undetermined
1951,6.0,31.0,30.0,2,WD,Other,24.0,0.2351765307508255,upward
1958,6.0,19.0,32.0,1,WD,Manual,60.0,0.2351765307508255,undetermined
1953,9.0,35.0,31.0,2,WD,Manual,48.0,0.2351765307508255,downward
1917,4.0,30.0,52.0,1,WOD,Manual,72.0,0.2351765307508255,no_movement
1961,6.0,18.0,35.0,1,WD,Manual,36.0,0.2351765307508255,undetermined
1952,6.0,28.0,35.0,1,WD,Manual,60.0,0.2351765307508255,no_movement
1968,12.0,16.0,27.0,1,WOD,Manual,48.0,0.2351765307508255,undetermined
1959,6.0,25.0,32.0,1,WD,Manual,60.0,0.2351765307508255,undetermined
1951,4.0,23.0,37.0,1,WD,Manual,48.0,0.2351765307508255,upward
1968,13.0,11.583333333333334,19.0,1,WD,Manual,7.0,0.2351765307508255,undetermined
1963,8.0,20.0,28.0,1,WD,Manual,12.0,0.2351765307508255,undetermined
1974,9.0,9.0,17.0,1,WD,Manual,96.0,0.2351765307508255,undetermined
1941,6.0,30.5,21.0,2,WOD,Agrarian,324.0,0.22611220870135446,no_movement
1942,7.0,12.0,34.0,1,WD,Manual,240.0,0.22611220870135446,undetermined
1938,6.0,28.0,18.0,1,WOD,Agrarian,24.0,0.22611220870135446,upward
1969,6.0,12.0,28.0,1,WD,Agrarian,24.0,0.22611220870135446,undetermined
1924,3.0,32.416666666666664,32.0,2,WOD,Agrarian,5.0,0.22611220870135446,no_movement
1938,4.0,26.083333333333332,37.0,1,WD,Manual,7.0,0.22611220870135446,no_movement
1961,0.0,13.0,25.0,1,WD,Manual,12.0,0.22611220870135446,undetermined
1951,3.0,29.25,25.0,1,WD,Agrarian,3.0,0.22611220870135446,upward
1930,0.0,30.25,42.0,1,WD,Agrarian,3.0,0.22611220870135446,no_movement
1965,12.0,21.5,18.0,1,WOD,Manual,6.0,0.22611220870135446,undetermined
1961,2.0,23.0,30.0,1,WD,Manual,36.0,0.22611220870135446,undetermined
1964,12.0,19.333333333333332,23.0,2,WD,Agrarian,22.0,0.22611220870135446,undetermined
1954,9.0,33.0,34.0,1,WD,Agrarian,36.0,0.22611220870135446,undetermined
1956,3.0,29.666666666666668,20.0,1,WD,Agrarian,8.0,0.22611220870135446,undetermined
1955,4.0,26.0,20.0,6,WD,Agrarian,36.0,0.22611220870135446,undetermined
1946,13.0,40.166666666666664,24.0,3,WOD,Other,26.0,0.22611220870135446,downward
1961,16.0,31.0,13.0,1,WD,Other,312.0,0.22611220870135446,undetermined
1940,2.0,34.0,26.0,1,WOD,Manual,408.0,0.22611220870135446,no_movement
1908,2.0,30.0,44.0,1,WD,Other,576.0,0.22611220870135446,no_movement
1918,3.0,32.0,58.0,1,WD,Agrarian,288.0,0.22611220870135446,no_movement
1962,18.0,21.0,17.0,1,WD,Other,252.0,0.22611220870135446,undetermined
1966,12.0,17.0,17.0,1,WOD,Manual,204.0,0.22611220870135446,undetermined
1952,8.0,29.0,20.0,1,WD,Manual,336.0,0.22611220870135446,upward
