Classifier,Train_sizes,Train_scores,Validation_scores
RBF SVM,160,"[0.94375, 0.95, 0.95625, 0.95, 0.93125, 0.925, 0.94375, 0.925, 0.9625, 0.95625]","[0.3333333333333333, 0.3389355742296919, 0.3389355742296919, 0.33613445378151263, 0.3389355742296919, 0.33613445378151263, 0.3389355742296919, 0.3342696629213483, 0.3398876404494382, 0.34269662921348315]"
RBF SVM,321,"[0.9158878504672897, 0.9096573208722741, 0.9158878504672897, 0.9096573208722741, 0.8940809968847352, 0.9096573208722741, 0.9190031152647975, 0.9127725856697819, 0.9190031152647975, 0.9158878504672897]","[0.35294117647058826, 0.3445378151260504, 0.35014005602240894, 0.33613445378151263, 0.3389355742296919, 0.35014005602240894, 0.35294117647058826, 0.351123595505618, 0.3398876404494382, 0.35674157303370785]"
RBF SVM,642,"[0.8691588785046729, 0.883177570093458, 0.8894080996884736, 0.8800623052959502, 0.883177570093458, 0.8847352024922118, 0.8800623052959502, 0.8800623052959502, 0.8847352024922118, 0.8769470404984424]","[0.3697478991596639, 0.3585434173669468, 0.3641456582633053, 0.37254901960784315, 0.3865546218487395, 0.3697478991596639, 0.3697478991596639, 0.36235955056179775, 0.36797752808988765, 0.3904494382022472]"
RBF SVM,963,"[0.838006230529595, 0.8483904465212876, 0.8525441329179647, 0.8452751817237798, 0.8390446521287642, 0.8504672897196262, 0.8452751817237798, 0.8431983385254413, 0.8525441329179647, 0.8473520249221184]","[0.3697478991596639, 0.3557422969187675, 0.36134453781512604, 0.3585434173669468, 0.3753501400560224, 0.37254901960784315, 0.3641456582633053, 0.35674157303370785, 0.3539325842696629, 0.3792134831460674]"
RBF SVM,1284,"[0.822429906542056, 0.8309968847352025, 0.8364485981308412, 0.8302180685358256, 0.8177570093457944, 0.8372274143302181, 0.8278816199376947, 0.8247663551401869, 0.8271028037383178, 0.8348909657320872]","[0.36134453781512604, 0.37254901960784315, 0.3697478991596639, 0.3865546218487395, 0.36694677871148457, 0.38935574229691877, 0.36694677871148457, 0.36797752808988765, 0.36797752808988765, 0.39325842696629215]"
RBF SVM,1605,"[0.821183800623053, 0.8242990654205608, 0.8299065420560747, 0.8274143302180685, 0.8230529595015577, 0.8330218068535825, 0.8267912772585669, 0.821183800623053, 0.8218068535825546, 0.8280373831775701]","[0.38375350140056025, 0.3865546218487395, 0.38095238095238093, 0.40896358543417366, 0.3753501400560224, 0.40336134453781514, 0.3865546218487395, 0.3792134831460674, 0.37359550561797755, 0.39325842696629215]"
RBF SVM,1926,"[0.8390446521287642, 0.839563862928349, 0.8463136033229491, 0.843717549325026, 0.8385254413291796, 0.8431983385254413, 0.8473520249221184, 0.8442367601246106, 0.838006230529595, 0.8483904465212876]","[0.49019607843137253, 0.5070028011204482, 0.49019607843137253, 0.47619047619047616, 0.47619047619047616, 0.47058823529411764, 0.47619047619047616, 0.4887640449438202, 0.4438202247191011, 0.5168539325842697]"
RBF SVM,2247,"[0.851357365376057, 0.8500222518914108, 0.8531375166889186, 0.8522474410324877, 0.8455718736092568, 0.8535825545171339, 0.8522474410324877, 0.8522474410324877, 0.8504672897196262, 0.8571428571428571]","[0.5434173669467787, 0.5686274509803921, 0.5350140056022409, 0.5238095238095238, 0.5378151260504201, 0.5350140056022409, 0.5518207282913166, 0.5730337078651685, 0.4691011235955056, 0.5786516853932584]"
RBF SVM,2568,"[0.8531931464174455, 0.8617601246105919, 0.8566978193146417, 0.8598130841121495, 0.8566978193146417, 0.8590342679127726, 0.8582554517133957, 0.8524143302180686, 0.8570872274143302, 0.8640965732087228]","[0.5518207282913166, 0.5798319327731093, 0.5406162464985994, 0.5350140056022409, 0.5602240896358543, 0.5490196078431373, 0.5686274509803921, 0.5674157303370787, 0.5056179775280899, 0.5898876404494382]"
RBF SVM,2889,"[0.8528902734510211, 0.8605053651782624, 0.8566978193146417, 0.857736240913811, 0.8570439598476982, 0.8532364139840776, 0.860159224645206, 0.8573901003807546, 0.8535825545171339, 0.8549671166493596]","[0.6190476190476191, 0.6414565826330533, 0.6022408963585434, 0.5798319327731093, 0.6470588235294118, 0.6078431372549019, 0.6498599439775911, 0.6151685393258427, 0.5646067415730337, 0.5926966292134831]"
Logistic Regression,160,"[0.68125, 0.6875, 0.6875, 0.69375, 0.69375, 0.7, 0.675, 0.7, 0.68125, 0.68125]","[0.3445378151260504, 0.32492997198879553, 0.3557422969187675, 0.34173669467787116, 0.3389355742296919, 0.33613445378151263, 0.3473389355742297, 0.3342696629213483, 0.3258426966292135, 0.33707865168539325]"
Logistic Regression,321,"[0.6230529595015576, 0.6479750778816199, 0.6417445482866043, 0.6573208722741433, 0.6510903426791277, 0.660436137071651, 0.632398753894081, 0.6417445482866043, 0.6417445482866043, 0.6386292834890965]","[0.35014005602240894, 0.3165266106442577, 0.36134453781512604, 0.33613445378151263, 0.33053221288515405, 0.3277310924369748, 0.33053221288515405, 0.34269662921348315, 0.3258426966292135, 0.34269662921348315]"
Logistic Regression,642,"[0.6386292834890965, 0.6479750778816199, 0.6386292834890965, 0.6542056074766355, 0.6510903426791277, 0.6495327102803738, 0.6308411214953271, 0.6417445482866043, 0.6448598130841121, 0.6401869158878505]","[0.3389355742296919, 0.33613445378151263, 0.3473389355742297, 0.34173669467787116, 0.33613445378151263, 0.3333333333333333, 0.3445378151260504, 0.3398876404494382, 0.31741573033707865, 0.3539325842696629]"
Logistic Regression,963,"[0.6355140186915887, 0.6427829698857737, 0.6334371754932503, 0.6448598130841121, 0.6375908618899273, 0.6500519210799585, 0.632398753894081, 0.6386292834890965, 0.6375908618899273, 0.6313603322949117]","[0.3445378151260504, 0.32492997198879553, 0.35014005602240894, 0.3389355742296919, 0.33613445378151263, 0.3389355742296919, 0.3445378151260504, 0.34269662921348315, 0.32865168539325845, 0.34831460674157305]"
